店舗,緯度,経度
osaka_A2701_A270101_27000166,34.697892,135.497628
osaka_A2701_A270101_27000184,34.697522,135.500042
osaka_A2701_A270101_27000188,34.697633,135.499743
osaka_A2701_A270101_27000217,34.696379,135.498201
osaka_A2701_A270101_27000297,34.70349,135.497803
osaka_A2701_A270101_27000315,34.702495,135.500849
osaka_A2701_A270101_27000322,34.704732,135.490622
osaka_A2701_A270101_27000614,34.711141,135.500948
osaka_A2701_A270101_27000763,34.698698,135.491537
osaka_A2701_A270101_27001902,34.702968,135.499527
osaka_A2701_A270101_27002171,34.697603,135.495288
osaka_A2701_A270101_27002481,34.705967,135.498475
osaka_A2701_A270101_27003232,34.711285,135.499701
osaka_A2701_A270101_27003367,34.6979,135.497796
osaka_A2701_A270101_27003533,34.698934,135.497954
osaka_A2701_A270101_27003766,34.698779,135.499416
osaka_A2701_A270101_27003858,34.704606,135.500342
osaka_A2701_A270101_27004267,34.699413,135.495301
osaka_A2701_A270101_27006074,34.696401,135.50036
osaka_A2701_A270101_27006469,34.703622,135.498385
osaka_A2701_A270101_27006684,34.712523,135.499648
osaka_A2701_A270101_27009408,34.698779,135.499416
osaka_A2701_A270101_27012248,34.70358,135.498081
osaka_A2701_A270101_27013772,34.698779,135.499416
osaka_A2701_A270101_27015312,34.698779,135.499416
osaka_A2701_A270101_27015342,34.709053,135.501434
osaka_A2701_A270101_27043360,34.698934,135.497954
osaka_A2701_A270101_27043596,34.697011,135.49833
osaka_A2701_A270101_27043878,34.698934,135.497954
osaka_A2701_A270101_27044588,34.697835,135.49849
osaka_A2701_A270101_27045333,34.697909,135.492585
osaka_A2701_A270101_27046071,34.697276,135.497145
osaka_A2701_A270101_27050149,34.696072,135.497685
osaka_A2701_A270101_27051831,34.697995,135.495937
osaka_A2701_A270101_27052204,34.70358,135.498081
osaka_A2701_A270101_27052272,34.69508,135.500759
osaka_A2701_A270101_27054292,34.702146,135.499957
osaka_A2701_A270101_27056300,34.698779,135.499416
osaka_A2701_A270101_27056537,34.698797,135.503043
osaka_A2701_A270101_27057161,34.70294,135.49555
osaka_A2701_A270101_27057420,34.696072,135.497685
osaka_A2701_A270101_27058412,34.69699,135.497225
osaka_A2701_A270101_27059284,34.696559,135.497685
osaka_A2701_A270101_27060358,34.703865,135.500578
osaka_A2701_A270101_27062999,34.699618,135.49879
osaka_A2701_A270101_27065615,34.696507,135.497158
osaka_A2701_A270101_27067874,34.702999,135.506063
osaka_A2701_A270101_27069919,34.707519,135.507204
osaka_A2701_A270101_27071287,34.701546,135.505225
osaka_A2701_A270101_27072441,34.697586,135.499583
osaka_A2701_A270101_27072543,34.70411,135.49479
osaka_A2701_A270101_27074379,34.696281,135.496894
osaka_A2701_A270101_27074484,34.703424,135.500613
osaka_A2701_A270101_27074795,34.703358,135.490465
osaka_A2701_A270101_27076552,34.711735,135.496858
osaka_A2701_A270101_27080479,34.700835,135.501685
osaka_A2701_A270101_27084317,34.708842,135.508061
osaka_A2701_A270101_27084544,34.70294,135.49555
osaka_A2701_A270101_27085007,34.711086,135.500549
osaka_A2701_A270101_27085130,34.70411,135.506136
osaka_A2701_A270101_27085402,34.706547,135.4878
osaka_A2701_A270101_27087157,34.705201,135.495651
osaka_A2701_A270101_27088923,34.708494,135.507057
osaka_A2701_A270101_27091267,34.703425,135.498975
osaka_A2701_A270101_27091294,34.697951,135.494839
osaka_A2701_A270101_27092018,34.695685,135.499274
osaka_A2701_A270101_27092383,34.705027,135.498427
osaka_A2701_A270101_27093070,34.705967,135.498475
osaka_A2701_A270101_27099114,34.698018,135.498713
osaka_A2701_A270101_27102306,34.70294,135.49555
osaka_A2701_A270101_27102312,34.70294,135.49555
osaka_A2701_A270101_27104891,34.71131,135.499996
osaka_A2701_A270101_27105162,34.70094,135.499003
osaka_A2701_A270101_27119787,34.697572,135.497888
osaka_A2701_A270102_27000005,34.690015,135.503782
osaka_A2701_A270102_27001653,34.691164,135.503435
osaka_A2701_A270102_27002376,34.690647,135.497127
osaka_A2701_A270102_27002387,34.696038,135.502995
osaka_A2701_A270102_27002769,34.689473,135.495384
osaka_A2701_A270102_27003694,34.689483,135.51003
osaka_A2701_A270102_27004672,34.687312,135.506802
osaka_A2701_A270102_27004773,34.687812,135.494869
osaka_A2701_A270102_27004971,34.687801,135.505883
osaka_A2701_A270102_27009454,34.687486,135.508206
